Number,Name,Pos,Height,Height_cm,Weight,Date of Birth,Age,Birth Place,Current Club,Nat,Group
,Barbosa,G,"5'09 """,175.26,11 11,23/03/1921,29,Campinas,Vasco da Gama,Brazil,A
,Castilho,G,,,,27/11/1927,22,Rio de Janeiro,Fluminense,Brazil,A
,Augusto,D,"5'09 """,175.26,11 09,19/10/1919,30,,Vasco da Gama,Brazil,A
,Moustache,D,"5'06 """,167.64,11 05,04/04/1922,28,,Flamengo,Brazil,A
,Juvenal,D,,,,27/10/1923,26,,Flamengo,Brazil,A
,Nena,D,,,,11/07/1923,26,,Guild,Brazil,A
,Nilton Santos,D,"5'11 """,180.34,12 06,16/05/1925,25,,Botafogo,Brazil,A
,Noronha,D,"5'09 """,175.26,11 00,25/11/1918,31,,Sao Paulo,Brazil,A
,Baltazar,M,"5'09 """,175.26,11 11,14/01/1926,24,Saints,Corinthians,Brazil,A
,Bauer,M,"6'02 """,187.96,12 00,11/11/1925,24,Sao Paulo,Sao Paulo,Brazil,A
,Danilo Alvim,M,"6'00 """,182.88,11 09,03/12/1920,29,,Vasco da Gama,Brazil,A
,Ely,M,"6'00 """,182.88,11 09,14/05/1921,29,,Vasco da Gama,Brazil,A
,Jair,M,"5'06 """,167.64,10 10,23/03/1921,29,Quatis,Palm Trees,Brazil,A
,Maneca,M,,,,28/01/1926,24,"Salvador, Bahia",Vasco da Gama,Brazil,A
,Campos Rui,M,,,,02/08/1922,27,,Sao Paulo,Brazil,A
,Zizinho,M,,,,14/09/1921,28,Rio de Janeiro,Flamengo,Brazil,A
,Little Adam,F,,,,02/04/1923,27,Porto Alegre,International,Brazil,A
,Ademir,F,"5'09 """,175.26,11 07,08/11/1922,27,,Vasco da Gama,Brazil,A
,Alfredo,F,"5'06 """,167.64,11 05,01/01/1920,30,Rio de Janeiro,Vasco da Gama,Brazil,A
,Boy,F,"5'06 """,167.64,10 12,07/01/1922,28,,Vasco da Gama,Brazil,A
,Coldness,F,"5'10 """,177.8,11 11,19/10/1924,25,Porziuncola,Sao Paulo,Brazil,A
,Francisco Rodriguez,F,"5'09 """,175.26,11 07,27/06/1925,24,,Fluminense,Brazil,A
,Antonio Carbajal,G,"5'11""",180.34,11 09,07/06/1929,21,Mexico City,Le—n,Mexico,A
,Raul Cordoba,D,,,,,,,San Sebastian Le—n,Mexico,A
,Gregorio G—mez,D,,,,29/12/1921,28,,Guadalajara,Mexico,A
